0	0
1	-1
2	1
3	-1
4	0
5	1
6	0
7	-1
8	0
9	1
10	-1
11	0
12	0
13	1
14	-1
15	0
16	0
17	1
18	-1
19	1
20	0
21	-1
22	0
23	0
24	0
25	1
26	-1
27	1
28	0
29	-1
30	0
31	1
32	0
33	-1
34	1
35	0
36	0
37	0
38	-1
39	0
40	0
41	1
42	-1
43	0
44	1
45	-1
46	1
47	-1
48	0
49	1
50	-1
51	0
52	0
53	1
54	0
55	-1
56	0
57	1
58	-1
59	1
60	0
61	0
62	0
63	0
64	0
65	0
66	-1
67	0
68	0
69	0
70	0
71	1
72	0
73	-1
74	1
75	0
76	0
77	-1
78	0
79	1
80	0
81	-1
82	1
83	0
84	0
85	-1
86	1
87	0
88	0
89	0
90	-1
91	0
92	0
93	0
94	0
95	1
96	0
97	-1
98	1
99	0
100	-1
101	1
102	-1
103	1
104	0
105	-1
106	1
107	-1
108	0
109	0
110	0
111	0
112	0
113	1
114	-1
115	1
116	0
117	-1
118	1
119	-1
120	0
121	1
122	-1
123	1
124	0
125	0
126	0
127	0
